"Classe","Nome Corso","Ateneo","Anno accademico","Descrizione indicatore","ID Indicatore","Numeratore"
"L-2 - Biotecnologie","0520106200200001 - Biotecnologie","Università di Siena","2020","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","47.000"
"L-2 - Biotecnologie","0520106200200001 - Biotecnologie","Università di Siena","2021","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","87.000"
"L-2 - Biotecnologie","0520106200200001 - Biotecnologie","Università di Siena","2022","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","80.000"
"L-2 - Biotecnologie","0520106200200001 - Biotecnologie","Università di Siena","2023","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","73.000"
"L-2 - Biotecnologie","0520106200200001 - Biotecnologie","Università di Siena","2024","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","72.000"
"L-2 - Biotecnologie","0520106200200001 - Biotecnologie","Università di Siena","2025","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","90.000"
"L-2 - Biotecnologie","0540106200200003 - Biotecnologie","Università di Perugia","2020","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","609.000"
"L-2 - Biotecnologie","0540106200200003 - Biotecnologie","Università di Perugia","2021","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","817.000"
"L-2 - Biotecnologie","0540106200200003 - Biotecnologie","Università di Perugia","2022","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","671.000"
"L-2 - Biotecnologie","0540106200200003 - Biotecnologie","Università di Perugia","2023","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","477.000"
"L-2 - Biotecnologie","0540106200200003 - Biotecnologie","Università di Perugia","2024","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","447.000"
"L-2 - Biotecnologie","0540106200200003 - Biotecnologie","Università di Perugia","2025","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","223.000"
"L-2 - Biotecnologie","0560106200200005 - Biotecnologie","Università della Tuscia","2020","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","247.000"
"L-2 - Biotecnologie","0560106200200005 - Biotecnologie","Università della Tuscia","2021","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","198.000"
"L-2 - Biotecnologie","0560106200200005 - Biotecnologie","Università della Tuscia","2022","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","159.000"
"L-2 - Biotecnologie","0560106200200005 - Biotecnologie","Università della Tuscia","2023","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","105.000"
"L-2 - Biotecnologie","0560106200200005 - Biotecnologie","Università della Tuscia","2024","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","95.000"
"L-2 - Biotecnologie","0560106200200005 - Biotecnologie","Università della Tuscia","2025","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","110.000"
"L-2 - Biotecnologie","0580106200200001 - Biotecnologie Agro-Alimentari e Industriali","La Sapienza","2020","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","38.000"
"L-2 - Biotecnologie","0580106200200001 - Biotecnologie Agro-Alimentari e Industriali","La Sapienza","2021","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","56.000"
"L-2 - Biotecnologie","0580106200200001 - Biotecnologie Agro-Alimentari e Industriali","La Sapienza","2022","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","50.000"
