"Classe","Nome Corso","Ateneo","Anno accademico","Descrizione indicatore","ID Indicatore","Numeratore"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","19.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","25.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","27.000"
"L-2 - Biotecnologie","0370106200200001 - Biotecnologie","Università di Bologna","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","60.000"
"L-2 - Biotecnologie","0370106200200001 - Biotecnologie","Università di Bologna","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","62.000"
"L-2 - Biotecnologie","0370106200200001 - Biotecnologie","Università di Bologna","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","57.000"
"L-2 - Biotecnologie","0370106200200001 - Biotecnologie","Università di Bologna","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","59.000"
"L-2 - Biotecnologie","0370106200200001 - Biotecnologie","Università di Bologna","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","52.000"
"L-2 - Biotecnologie","0370106200200001 - Biotecnologie","Università di Bologna","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","60.000"
"L-2 - Biotecnologie","0370106200200002 - Genomica","Università di Bologna","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","20.000"
"L-2 - Biotecnologie","0370106200200002 - Genomica","Università di Bologna","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","35.000"
"L-2 - Biotecnologie","0370106200200002 - Genomica","Università di Bologna","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","20.000"
"L-2 - Biotecnologie","0370106200200002 - Genomica","Università di Bologna","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","28.000"
"L-2 - Biotecnologie","0370106200200002 - Genomica","Università di Bologna","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","27.000"
"L-2 - Biotecnologie","0370106200200002 - Genomica","Università di Bologna","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","28.000"
"L-2 - Biotecnologie","0380106200200001 - Biotecnologie","Università di Ferrara","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","397.000"
"L-2 - Biotecnologie","0380106200200001 - Biotecnologie","Università di Ferrara","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","576.000"
"L-2 - Biotecnologie","0380106200200001 - Biotecnologie","Università di Ferrara","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","148.000"
"L-2 - Biotecnologie","0380106200200001 - Biotecnologie","Università di Ferrara","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","142.000"
"L-2 - Biotecnologie","0380106200200001 - Biotecnologie","Università di Ferrara","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","127.000"
"L-2 - Biotecnologie","0380106200200001 - Biotecnologie","Università di Ferrara","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","119.000"
"L-2 - Biotecnologie","0380106200200002 - Biotecnologie mediche","Università di Ferrara","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","425.000"
"L-2 - Biotecnologie","0380106200200002 - Biotecnologie mediche","Università di Ferrara","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","358.000"
"L-2 - Biotecnologie","0380106200200002 - Biotecnologie mediche","Università di Ferrara","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","200.000"
"L-2 - Biotecnologie","0380106200200002 - Biotecnologie mediche","Università di Ferrara","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","216.000"
"L-2 - Biotecnologie","0410106200200001 - BIOTECNOLOGIE","Carlo Bo","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","37.000"
"L-2 - Biotecnologie","0410106200200001 - BIOTECNOLOGIE","Carlo Bo","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","48.000"
"L-2 - Biotecnologie","0410106200200001 - BIOTECNOLOGIE","Carlo Bo","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","38.000"
"L-2 - Biotecnologie","0410106200200001 - BIOTECNOLOGIE","Carlo Bo","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","25.000"
"L-2 - Biotecnologie","0410106200200001 - BIOTECNOLOGIE","Carlo Bo","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","18.000"
"L-2 - Biotecnologie","0410106200200001 - BIOTECNOLOGIE","Carlo Bo","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","29.000"
"L-2 - Biotecnologie","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","Università di Camerino","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","32.000"
"L-2 - Biotecnologie","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","Università di Camerino","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","25.000"
"L-2 - Biotecnologie","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","Università di Camerino","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","35.000"
"L-2 - Biotecnologie","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","Università di Camerino","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","40.000"
"L-2 - Biotecnologie","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","Università di Camerino","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","35.000"
"L-2 - Biotecnologie","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","Università di Camerino","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","42.000"
"L-2 - Biotecnologie","0480106200200002 - Biotecnologie","Università di Firenze","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","64.000"
"L-2 - Biotecnologie","0480106200200002 - Biotecnologie","Università di Firenze","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","57.000"
"L-2 - Biotecnologie","0480106200200002 - Biotecnologie","Università di Firenze","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","45.000"
"L-2 - Biotecnologie","0480106200200002 - Biotecnologie","Università di Firenze","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","61.000"
"L-2 - Biotecnologie","0480106200200002 - Biotecnologie","Università di Firenze","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","43.000"
"L-2 - Biotecnologie","0480106200200002 - Biotecnologie","Università di Firenze","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","50.000"
"L-2 - Biotecnologie","0500106200200004 - BIOTECNOLOGIE","Università di Pisa","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","23.000"
"L-2 - Biotecnologie","0500106200200004 - BIOTECNOLOGIE","Università di Pisa","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","23.000"
"L-2 - Biotecnologie","0500106200200004 - BIOTECNOLOGIE","Università di Pisa","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","22.000"
"L-2 - Biotecnologie","0500106200200004 - BIOTECNOLOGIE","Università di Pisa","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","23.000"
"L-2 - Biotecnologie","0500106200200004 - BIOTECNOLOGIE","Università di Pisa","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","32.000"
"L-2 - Biotecnologie","0500106200200004 - BIOTECNOLOGIE","Università di Pisa","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","18.000"
"L-2 - Biotecnologie","0520106200200001 - Biotecnologie","Università di Siena","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","36.000"
"L-2 - Biotecnologie","0520106200200001 - Biotecnologie","Università di Siena","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","28.000"
"L-2 - Biotecnologie","0520106200200001 - Biotecnologie","Università di Siena","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","41.000"
"L-2 - Biotecnologie","0520106200200001 - Biotecnologie","Università di Siena","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","22.000"
"L-2 - Biotecnologie","0520106200200001 - Biotecnologie","Università di Siena","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","34.000"
"L-2 - Biotecnologie","0520106200200001 - Biotecnologie","Università di Siena","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","28.000"
"L-2 - Biotecnologie","0540106200200003 - Biotecnologie","Università di Perugia","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","94.000"
"L-2 - Biotecnologie","0540106200200003 - Biotecnologie","Università di Perugia","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","29.000"
"L-2 - Biotecnologie","0540106200200003 - Biotecnologie","Università di Perugia","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","21.000"
"L-2 - Biotecnologie","0540106200200003 - Biotecnologie","Università di Perugia","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","58.000"
"L-2 - Biotecnologie","0540106200200003 - Biotecnologie","Università di Perugia","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","54.000"
"L-2 - Biotecnologie","0540106200200003 - Biotecnologie","Università di Perugia","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","59.000"
"L-2 - Biotecnologie","0560106200200005 - Biotecnologie","Università della Tuscia","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","18.000"
"L-2 - Biotecnologie","0560106200200005 - Biotecnologie","Università della Tuscia","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","41.000"
