"Classe","Nome Corso","Ateneo","Anno accademico","Descrizione indicatore","Numeratore"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2025","Immatricolati puri ** (L; LMCU)","83.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2020","Immatricolati puri ** (L; LMCU)","60.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2021","Immatricolati puri ** (L; LMCU)","45.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2022","Immatricolati puri ** (L; LMCU)","52.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2023","Immatricolati puri ** (L; LMCU)","57.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2024","Immatricolati puri ** (L; LMCU)","53.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2025","Immatricolati puri ** (L; LMCU)","53.000"
"L-2 - Biotecnologie","0370106200200001 - Biotecnologie","Università di Bologna","2020","Immatricolati puri ** (L; LMCU)","94.000"
"L-2 - Biotecnologie","0370106200200001 - Biotecnologie","Università di Bologna","2021","Immatricolati puri ** (L; LMCU)","75.000"
"L-2 - Biotecnologie","0370106200200001 - Biotecnologie","Università di Bologna","2022","Immatricolati puri ** (L; LMCU)","89.000"
"L-2 - Biotecnologie","0370106200200001 - Biotecnologie","Università di Bologna","2023","Immatricolati puri ** (L; LMCU)","82.000"
"L-2 - Biotecnologie","0370106200200001 - Biotecnologie","Università di Bologna","2024","Immatricolati puri ** (L; LMCU)","72.000"
"L-2 - Biotecnologie","0370106200200001 - Biotecnologie","Università di Bologna","2025","Immatricolati puri ** (L; LMCU)","90.000"
"L-2 - Biotecnologie","0370106200200002 - Genomica","Università di Bologna","2020","Immatricolati puri ** (L; LMCU)","49.000"
"L-2 - Biotecnologie","0370106200200002 - Genomica","Università di Bologna","2021","Immatricolati puri ** (L; LMCU)","48.000"
"L-2 - Biotecnologie","0370106200200002 - Genomica","Università di Bologna","2022","Immatricolati puri ** (L; LMCU)","42.000"
