"Classe","Nome Corso","Ateneo","Anno accademico","Descrizione indicatore","Numeratore"
"L-2 - Biotecnologie","0320106201300002 - Scienze e tecnologie biologiche","Università di Trieste","2020","Immatricolati puri ** (L; LMCU)","46.000"
"L-2 - Biotecnologie","0320106201300002 - Scienze e tecnologie biologiche","Università di Trieste","2021","Immatricolati puri ** (L; LMCU)","51.000"
"L-2 - Biotecnologie","0320106201300002 - Scienze e tecnologie biologiche","Università di Trieste","2022","Immatricolati puri ** (L; LMCU)","46.000"
"L-2 - Biotecnologie","0320106201300002 - Scienze e tecnologie biologiche","Università di Trieste","2023","Immatricolati puri ** (L; LMCU)","58.000"
"L-2 - Biotecnologie","0320106201300002 - Scienze e tecnologie biologiche","Università di Trieste","2024","Immatricolati puri ** (L; LMCU)","51.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2013","Immatricolati puri ** (L; LMCU)","60.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2014","Immatricolati puri ** (L; LMCU)","54.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2015","Immatricolati puri ** (L; LMCU)","85.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2016","Immatricolati puri ** (L; LMCU)","81.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2017","Immatricolati puri ** (L; LMCU)","95.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2018","Immatricolati puri ** (L; LMCU)","97.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2019","Immatricolati puri ** (L; LMCU)","97.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2020","Immatricolati puri ** (L; LMCU)","100.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2021","Immatricolati puri ** (L; LMCU)","92.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2022","Immatricolati puri ** (L; LMCU)","88.000"
