"Classe","Nome Corso","Ateneo","Anno accademico","Descrizione indicatore","ID Indicatore","Numeratore"
"L-2 - Biotecnologie","0370106200200001 - Biotecnologie","Università di Bologna","2021","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","47.000"
"L-2 - Biotecnologie","0370106200200001 - Biotecnologie","Università di Bologna","2022","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","49.000"
"L-2 - Biotecnologie","0370106200200001 - Biotecnologie","Università di Bologna","2023","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","43.000"
"L-2 - Biotecnologie","0370106200200001 - Biotecnologie","Università di Bologna","2024","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","53.000"
"L-2 - Biotecnologie","0370106200200002 - Genomica","Università di Bologna","2020","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","32.000"
"L-2 - Biotecnologie","0370106200200002 - Genomica","Università di Bologna","2021","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","28.000"
"L-2 - Biotecnologie","0370106200200002 - Genomica","Università di Bologna","2022","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","22.000"
"L-2 - Biotecnologie","0370106200200002 - Genomica","Università di Bologna","2023","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","23.000"
"L-2 - Biotecnologie","0370106200200002 - Genomica","Università di Bologna","2024","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","16.000"
"L-2 - Biotecnologie","0380106200200001 - Biotecnologie","Università di Ferrara","2020","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","155.000"
"L-2 - Biotecnologie","0380106200200001 - Biotecnologie","Università di Ferrara","2021","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","98.000"
"L-2 - Biotecnologie","0380106200200001 - Biotecnologie","Università di Ferrara","2022","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","85.000"
"L-2 - Biotecnologie","0380106200200001 - Biotecnologie","Università di Ferrara","2023","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","104.000"
"L-2 - Biotecnologie","0380106200200001 - Biotecnologie","Università di Ferrara","2024","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","88.000"
"L-2 - Biotecnologie","0380106200200002 - Biotecnologie mediche","Università di Ferrara","2020","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","218.000"
"L-2 - Biotecnologie","0380106200200002 - Biotecnologie mediche","Università di Ferrara","2021","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","122.000"
"L-2 - Biotecnologie","0380106200200002 - Biotecnologie mediche","Università di Ferrara","2022","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","116.000"
"L-2 - Biotecnologie","0380106200200002 - Biotecnologie mediche","Università di Ferrara","2023","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","139.000"
"L-2 - Biotecnologie","0380106200200002 - Biotecnologie mediche","Università di Ferrara","2024","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","141.000"
"L-2 - Biotecnologie","0410106200200001 - BIOTECNOLOGIE","Carlo Bo","2020","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","26.000"
"L-2 - Biotecnologie","0410106200200001 - BIOTECNOLOGIE","Carlo Bo","2021","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","19.000"
"L-2 - Biotecnologie","0410106200200001 - BIOTECNOLOGIE","Carlo Bo","2022","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","28.000"
"L-2 - Biotecnologie","0410106200200001 - BIOTECNOLOGIE","Carlo Bo","2023","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","24.000"
"L-2 - Biotecnologie","0410106200200001 - BIOTECNOLOGIE","Carlo Bo","2024","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","19.000"
"L-2 - Biotecnologie","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","Università di Camerino","2020","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","36.000"
"L-2 - Biotecnologie","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","Università di Camerino","2021","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","28.000"
"L-2 - Biotecnologie","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","Università di Camerino","2022","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","16.000"
"L-2 - Biotecnologie","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","Università di Camerino","2023","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","38.000"
"L-2 - Biotecnologie","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","Università di Camerino","2024","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","23.000"
"L-2 - Biotecnologie","0480106200200002 - Biotecnologie","Università di Firenze","2020","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","55.000"
"L-2 - Biotecnologie","0480106200200002 - Biotecnologie","Università di Firenze","2021","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","42.000"
"L-2 - Biotecnologie","0480106200200002 - Biotecnologie","Università di Firenze","2022","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","32.000"
"L-2 - Biotecnologie","0480106200200002 - Biotecnologie","Università di Firenze","2023","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","36.000"
"L-2 - Biotecnologie","0480106200200002 - Biotecnologie","Università di Firenze","2024","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","45.000"
"L-2 - Biotecnologie","0500106200200004 - BIOTECNOLOGIE","Università di Pisa","2020","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","27.000"
