"Ateneo","Nome Corso","Classe","ID Indicatore","Anno accademico","Numeratore"
"San Raffaele","0150806200200002 - Ricerca biotecnologica in medicina","L-2 - Biotecnologie","iC14","2022","25.000"
"San Raffaele","0150806200200002 - Ricerca biotecnologica in medicina","L-2 - Biotecnologie","iC14","2023","29.000"
"San Raffaele","0150806200200002 - Ricerca biotecnologica in medicina","L-2 - Biotecnologie","iC14","2024","23.000"
"San Raffaele","0150806200200002 - Ricerca biotecnologica in medicina","L-2 - Biotecnologie","iC21","2020","34.000"
"San Raffaele","0150806200200002 - Ricerca biotecnologica in medicina","L-2 - Biotecnologie","iC21","2021","33.000"
"San Raffaele","0150806200200002 - Ricerca biotecnologica in medicina","L-2 - Biotecnologie","iC21","2022","32.000"
"San Raffaele","0150806200200002 - Ricerca biotecnologica in medicina","L-2 - Biotecnologie","iC21","2023","32.000"
"San Raffaele","0150806200200002 - Ricerca biotecnologica in medicina","L-2 - Biotecnologie","iC21","2024","30.000"
"Università di Modena e Reggio Emilia","0360106200200001 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC14","2020","37.000"
"Università di Modena e Reggio Emilia","0360106200200001 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC14","2021","32.000"
"Università di Modena e Reggio Emilia","0360106200200001 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC14","2022","32.000"
"Università di Modena e Reggio Emilia","0360106200200001 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC14","2023","41.000"
"Università di Modena e Reggio Emilia","0360106200200001 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC14","2024","35.000"
"Università di Modena e Reggio Emilia","0360106200200001 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC21","2020","55.000"
"Università di Modena e Reggio Emilia","0360106200200001 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC21","2021","43.000"
"Università di Modena e Reggio Emilia","0360106200200001 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC21","2022","47.000"
"Università di Modena e Reggio Emilia","0360106200200001 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC21","2023","53.000"
"Università di Modena e Reggio Emilia","0360106200200001 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC21","2024","43.000"
"Federico II","0630106200200002 - Corso di laurea in Biotecnologie Biomolecolari e Industriali","L-2 - Biotecnologie","iC14","2020","21.000"
"Federico II","0630106200200002 - Corso di laurea in Biotecnologie Biomolecolari e Industriali","L-2 - Biotecnologie","iC14","2021","30.000"
"Federico II","0630106200200002 - Corso di laurea in Biotecnologie Biomolecolari e Industriali","L-2 - Biotecnologie","iC14","2022","27.000"
"Federico II","0630106200200002 - Corso di laurea in Biotecnologie Biomolecolari e Industriali","L-2 - Biotecnologie","iC14","2023","28.000"
"Federico II","0630106200200002 - Corso di laurea in Biotecnologie Biomolecolari e Industriali","L-2 - Biotecnologie","iC14","2024","34.000"
"Federico II","0630106200200002 - Corso di laurea in Biotecnologie Biomolecolari e Industriali","L-2 - Biotecnologie","iC21","2020","41.000"
"Federico II","0630106200200002 - Corso di laurea in Biotecnologie Biomolecolari e Industriali","L-2 - Biotecnologie","iC21","2021","45.000"
"Federico II","0630106200200002 - Corso di laurea in Biotecnologie Biomolecolari e Industriali","L-2 - Biotecnologie","iC21","2022","44.000"
"Federico II","0630106200200002 - Corso di laurea in Biotecnologie Biomolecolari e Industriali","L-2 - Biotecnologie","iC21","2023","44.000"
"Federico II","0630106200200002 - Corso di laurea in Biotecnologie Biomolecolari e Industriali","L-2 - Biotecnologie","iC21","2024","56.000"
"Federico II","0630106200200004 - Biotecnologie per la Salute","L-2 - Biotecnologie","iC14","2020","164.000"
